thread,p,d,d2,d1,d3,h3
M6,1,6,5.350,4.917,4.773,0.613
M6x0.75,0.75,6,5.513,5.188,5.080,
M6x0.5,0.5,6,5.675,5.459,5.387,
M7,1,7,6.350,5.917,5.773,0.613
M7x0.75,0.75,7,6.513,6.188,6.080,
M7x0.5,0.5,7,6.675,6.459,6.387,
M8,1.25,8,7.188,6.647,6.466,0.767
M8x1,1,8,7.350,6.917,6.773,
M8x0.75,0.75,8,7.513,7.188,7.080,
M8x0.5,0.5,8,7.675,7.459,7.387,
M9,1.25,9,8.188,7.647,7.466,0.767
M9x1,1,9,8.350,7.917,7.773,
M9x0.75,0.75,9,8.513,8.188,8.080,
M9x0.5,0.5,9,8.675,8.459,8.387,
M10,1.5,10,9.026,8.376,8.160,0.920
M10x1.25,1.25,10,9.188,8.647,8.466,
M10x1,1,10,9.350,8.917,8.773,
M10x0.75,0.75,10,9.513,9.188,9.080,
M10x0.5,0.5,10,9.675,9.459,9.387,
M11,1.5,11,10.026,9.376,9.160,0.920
M11x1,1,11,10.350,9.917,9.773,
M11x0.75,0.75,11,10.513,10.188,10.080,
M11x0.5,0.5,11,10.675,10.459,10.387,
M12,1.75,12,10.683,10.106,9.853,1.074
M12x1.5,1.5,12,11.026,10.376,10.160,
M12x1.25,1.25,12,11.188,10.647,10.466,
M12x1,1,12,11.350,10.917,10.773,
M12x0.75,0.75,12,11.513,11.188,11.080,
M12x0.5,0.5,12,11.675,11.459,11.387,
